kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_impact,koi_duration,koi_ror,koi_steff,koi_slogg,koi_srad,ra,dec
10797460,K00752.01,Kepler-227 b,CONFIRMED,9.48803557,170.53875,615.8,0.146,2.9575,0.022344,5455.0,4.467,0.927,291.93423,48.141651
10797460,K00752.02,Kepler-227 c,CONFIRMED,54.4183827,162.51384,874.8,0.586,4.507,0.027954,5455.0,4.467,0.927,291.93423,48.141651
10848459,K00754.01,,FALSE POSITIVE,1.736952453,170.307565,8079.2,1.276,2.40641,0.387394,5805.0,4.564,0.791,285.53461,48.28521
10854555,K00755.01,Kepler-664 b,CONFIRMED,2.525591777,171.59555,603.3,0.701,1.6545,0.024064,6031.0,4.438,1.046,288.75488,48.2262
10872983,K00756.01,Kepler-228 d,CONFIRMED,11.09432054,171.20116,1517.5,0.538,4.5945,0.036779,6046.0,4.486,0.972,296.28613,48.22467
10872983,K00756.02,Kepler-228 c,CONFIRMED,4.13443512,172.97937,686.0,0.762,3.1402,0.026133,6046.0,4.486,0.972,296.28613,48.22467
10872983,K00756.03,Kepler-228 b,CONFIRMED,2.56658897,179.55437,226.5,0.755,2.429,0.014983,6046.0,4.486,0.972,296.28613,48.22467
6721123,K00114.01,,FALSE POSITIVE,7.36178958,132.25053,233.7,1.169,5.022,0.183387,6227.0,3.986,1.958,298.86435,42.151569
10910878,K00757.01,Kepler-229 c,CONFIRMED,16.06864674,173.621937,4914.3,0.052,3.5347,0.062161,5031.0,4.485,0.848,286.99948,48.37579
11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613377,122.763305,14230.9,0.818,1.74319,0.123871,5820.0,4.457,0.964,286.80847,49.316399
10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735417,121.3585417,6674.7,0.224,3.88864,0.075522,6440.0,4.019,1.952,292.24728,47.969521
6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498429,121.1194228,9145.7,0.631,3.19843,0.092086,6225.0,4.169,1.451,281.28812,42.45108
10984090,K00112.02,Kepler-466 c,CONFIRMED,3.709214104,133.98318,131.1,0.051,2.6302,0.010424,5833.0,4.407,1.022,295.64871,48.49556
10419211,K00742.01,,FALSE POSITIVE,11.521446064,170.839688,17984.3,2.483,3.6399,1.625358,5795.0,4.554,0.848,297.07993,47.597401
10464078,K00743.01,,FALSE POSITIVE,19.40393776,172.484253,8918.7,0.804,12.2155,0.096729,5043.0,4.591,0.68,289.25821,47.635319
10480982,K00744.01,,FALSE POSITIVE,19.221388942,184.5521637,74284.0,1.065,4.79843,0.476633,6117.0,4.496,0.947,295.81454,47.69035
10485250,K00745.01,,FALSE POSITIVE,16.46983774,180.881761,10478.9,0.292,9.4378,0.092509,5152.0,4.517,0.786,297.15442,47.668701
10526549,K00746.01,Kepler-660 b,CONFIRMED,9.27358173,173.258155,1288.3,0.387,3.2875,0.032563,4856.0,4.583,0.696,288.13824,47.724449
10583066,K00747.01,Kepler-661 b,CONFIRMED,6.02930329,171.602959,1912.7,0.258,1.5821,0.038838,4537.0,4.648,0.672,283.71088,47.86327
10583180,K00748.01,,FALSE POSITIVE,2.696370652,170.73769,397.9,0.044,3.6129,0.017673,4989.0,4.504,0.819,283.76547,47.804298
10601284,K00749.01,Kepler-226 c,CONFIRMED,5.349553819,171.80694,831.0,0.092,3.0278,0.025706,5185.0,4.44,0.91,292.37613,47.880989
10601284,K00749.02,Kepler-226 b,CONFIRMED,3.94105221,136.08662,363.3,0.226,2.5984,0.017105,5185.0,4.44,0.91,292.37613,47.880989
10601284,K00749.03,Kepler-226 d,CONFIRMED,8.10904807,132.8031,217.4,0.025,3.596,0.013127,5185.0,4.44,0.91,292.37613,47.880989
2306756,K00113.01,,FALSE POSITIVE,386.6030528,166.342079,24926.6,0.9765,6.8057,0.240528,5543.0,4.081,1.58,292.27374,37.671558
10662202,K00750.01,Kepler-662 b,CONFIRMED,21.67699193,171.53594,857.2,0.896,3.4555,0.032666,4954.0,4.5,0.828,290.46512,47.92918
10682541,K00751.01,Kepler-663 b,CONFIRMED,4.99677968,171.74208,934.7,0.71,2.1717,0.030014,5339.0,4.552,0.847,297.80826,47.946671
11460018,K00769.01,Kepler-671 b,CONFIRMED,4.280963604,171.89659,750.8,0.424,2.875,0.025377,5644.0,4.564,0.831,294.26581,49.314091
11463211,K00770.01,,FALSE POSITIVE,1.50635409,170.998064,2211.7,0.86,1.5155,0.049899,5714.0,4.563,0.831,295.66522,49.351009
11465813,K00771.01,,FALSE POSITIVE,670.645531,209.04355,18090.6,0.701,53.412,0.131705,5520.0,4.466,0.983,296.69861,49.316479
11493732,K00772.01,,FALSE POSITIVE,61.2563628,173.83826,5123.3,1.248,7.633,0.334628,6144.0,4.402,1.091,283.72592,49.479519
11507101,K00773.01,Kepler-672 b,CONFIRMED,38.3775486,172.82048,724.2,0.468,5.588,0.024901,5481.0,4.369,1.036,291.72202,49.480869
10910878,K00757.02,Kepler-229 d,CONFIRMED,41.19725502,165.00404,2213.9,0.045,4.6297,0.041693,5031.0,4.485,0.848,286.99948,48.37579
10910878,K00757.03,Kepler-229 b,CONFIRMED,6.252962249,171.30126,1036.9,0.105,2.5819,0.028604,5031.0,4.485,0.848,286.99948,48.37579
10987985,K00758.01,Kepler-665 b,CONFIRMED,16.01308419,176.3608,1121.9,0.799,3.2554,0.034369,5015.0,4.499,0.826,297.02563,48.478588
11018648,K00759.01,Kepler-230 b,CONFIRMED,32.62876672,194.1019,1804.8,0.021,4.7971,0.03852,5586.0,4.56,0.798,285.71854,48.505859
11018648,K00759.02,Kepler-230 c,CONFIRMED,91.7732862,193.8378,652.0,0.606,6.473,0.02432,5586.0,4.56,0.798,285.71854,48.505859
11138155,K00760.01,Kepler-1976 b,CONFIRMED,4.959319244,172.2585292,9802.0,0.831,2.22739,0.103379,5712.0,4.359,1.082,292.16705,48.727589
11152159,K00761.01,,FALSE POSITIVE,2.701287801,170.69579,860.4,1.016,3.3827,0.06584,5550.0,4.468,0.91,297.92365,48.777321
11153539,K00762.01,Kepler-666 b,CONFIRMED,4.49876511,171.34905,460.0,0.312,3.7362,0.019817,6075.0,4.486,0.969,298.45685,48.791592
11242721,K00763.01,,FALSE POSITIVE,19.651209505,179.401981,11766.3,0.723,5.2514,0.106953,6074.0,4.391,1.063,291.0939,48.933842
9579641,K00115.01,Kepler-105 b,CONFIRMED,5.412203927,133.143089,601.6,0.787,2.9472,0.024775,5779.0,4.339,1.087,287.88733,46.276241
11304958,K00764.01,Kepler-667 b,CONFIRMED,41.43958662,208.93203,2793.1,0.355,10.5989,0.048175,5468.0,4.367,1.046,295.55505,49.017342
11391957,K00765.01,Kepler-668 b,CONFIRMED,8.35389523,171.63257,1041.6,0.023,2.2514,0.029305,5592.0,4.582,0.787,285.49924,49.277351
11403044,K00766.01,Kepler-669 b,CONFIRMED,4.125543472,169.752585,1487.3,0.597,3.1744,0.036796,6174.0,4.417,1.103,291.93616,49.253979
11414511,K00767.01,Kepler-670 b,CONFIRMED,2.816504904,170.9676846,16813.7,0.105,2.50587,0.117059,5532.0,4.452,0.955,297.01547,49.225288
11442465,K00768.01,,FALSE POSITIVE,33.93373447,186.67608,8503.7,0.812,14.561,0.095386,5040.0,4.628,0.705,284.17233,49.360722
12110942,K00786.01,Kepler-680 b,CONFIRMED,3.689920099,170.36571,426.7,0.151,2.6557,0.018878,5880.0,4.518,0.917,291.62241,50.61824
12366084,K00787.01,Kepler-232 b,CONFIRMED,4.431238488,171.015,1010.9,0.405,3.15,0.02933,5714.0,4.428,1.015,295.81616,51.121738
12366084,K00787.02,Kepler-232 c,CONFIRMED,11.37936986,133.84992,1023.5,0.911,2.6255,0.035628,5714.0,4.428,1.015,295.81616,51.121738
12404086,K00788.01,Kepler-681 b,CONFIRMED,26.39432897,176.05459,1510.9,0.602,3.573,0.03681,5129.0,4.595,0.763,289.39972,51.25032
8395660,K00116.01,Kepler-106 c,CONFIRMED,13.57078281,136.279194,511.7,0.866,3.3539,0.023908,5854.0,4.406,1.012,300.86398,44.337551
9579641,K00115.02,Kepler-105 c,CONFIRMED,7.12594387,139.00492,192.4,0.898,3.0014,0.01512,5779.0,4.339,1.087,287.88733,46.276241
11656840,K00774.01,,FALSE POSITIVE,7.442652004,169.9717797,24446.2,0.137,2.3078,0.143936,6108.0,4.469,0.956,288.98682,49.733742
11754553,K00775.01,Kepler-52 c,CONFIRMED,16.38489988,172.72782,1127.1,0.001,3.0249,0.029758,4126.0,4.661,0.615,286.73804,49.97575
11754553,K00775.02,Kepler-52 b,CONFIRMED,7.8774163,176.3759,1306.1,0.041,2.0805,0.03209,4126.0,4.661,0.615,286.73804,49.97575
11754553,K00775.03,Kepler-52 d,CONFIRMED,36.4454001,151.60125,1122.3,0.028,4.007,0.029681,4126.0,4.661,0.615,286.73804,49.97575
11812062,K00776.01,Kepler-673 b,CONFIRMED,3.728732147,171.793255,5226.5,0.558,2.683,0.068178,5497.0,4.577,0.809,290.78574,50.054119
11853255,K00778.01,Kepler-674 b,CONFIRMED,2.243380573,170.679233,821.7,0.915,1.1196,0.032248,4149.0,4.698,0.564,285.17621,50.149818
11909839,K00779.01,,FALSE POSITIVE,10.405998015,177.197466,14488.8,0.324,6.5036,0.111248,5746.0,4.393,0.924,289.23553,50.241001
11918099,K00780.01,Kepler-675 b,CONFIRMED,2.337437946,171.761982,971.2,0.28,1.9982,0.027998,5005.0,4.595,0.765,293.83331,50.23035
11923270,K00781.01,Kepler-676 b,CONFIRMED,11.59822233,180.395376,2804.5,0.679,2.5237,0.051287,3688.0,4.79,0.473,296.22195,50.28722
11960862,K00782.01,Kepler-677 b,CONFIRMED,6.575315881,173.634044,2793.3,0.39,4.3084,0.049152,5992.0,4.415,0.989,290.09805,50.321609
12020329,K00783.01,Kepler-678 b,CONFIRMED,7.275040844,169.994217,3001.0,0.547,7.5377,0.051358,5485.0,4.556,0.867,295.45529,50.49456
12066335,K00784.01,Kepler-231 c,CONFIRMED,19.27153892,186.77093,1219.8,0.031,2.7594,0.031585,4077.0,4.702,0.56,293.97336,50.53191
12066335,K00784.02,Kepler-231 b,CONFIRMED,10.06524317,136.28906,1053.3,0.628,1.369,0.031153,4077.0,4.702,0.56,293.97336,50.53191
12070811,K00785.01,Kepler-679 b,CONFIRMED,12.3935651,178.74725,916.6,0.883,3.8896,0.032536,5557.0,4.603,0.75,296.02133,50.56778
8395660,K00116.02,Kepler-106 e,CONFIRMED,43.84439721,151.93538,615.2,0.852,6.802,0.025934,5854.0,4.406,1.012,300.86398,44.337551
3120431,K00798.01,,FALSE POSITIVE,3.341913228,171.63943,725.3,1.213,3.813,0.243351,5295.0,4.551,0.811,292.31595,38.27029
3246984,K00799.01,,FALSE POSITIVE,1.626630225,169.820171,1620.6,1.26,2.1145,0.305244,5735.0,4.41,0.973,294.36819,38.31028
3342970,K00800.01,Kepler-234 b,CONFIRMED,2.711504086,170.03417,837.5,0.023,3.0099,0.026533,6214.0,4.442,1.076,291.65353,38.494659
3342970,K00800.02,Kepler-234 c,CONFIRMED,7.21203748,172.81782,950.4,0.012,4.0491,0.028255,6214.0,4.442,1.076,291.65353,38.494659
