kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_impact,koi_duration,koi_ror,koi_steff,koi_slogg,koi_srad,ra,dec
5613330,K00649.01,Kepler-635 b,CONFIRMED,23.44970494,182.92295,315.6,0.193,8.6567,0.016268,6188.0,4.196,1.524,289.77325,40.80072
6266741,K00508.01,Kepler-170 b,CONFIRMED,7.930583519,169.516944,826.1,0.559,3.6083,0.027039,5674.0,4.446,1.032,284.52118,41.629601
2576107,K03709.01,,FALSE POSITIVE,205.5833309,234.746256,24872.0,1.215,6.0353,0.427207,6328.0,4.516,0.915,291.52313,37.887642
9592705,K00288.01,Kepler-1714 b,CONFIRMED,10.27532513,177.27227,209.7,0.315,6.3093,0.013362,6150.0,3.96,2.086,293.71646,46.226654
10329835,K02058.01,Kepler-1075 b,CONFIRMED,1.52373073,131.61813,364.7,0.942,1.4796,0.022705,3746.0,4.736,0.51,287.50116,47.469269
12012872,K08233.01,,FALSE POSITIVE,14.395425,140.977,115.4,0.398,5.12,0.009961,5715.0,4.586,0.782,291.48068,50.47366
9663113,K00179.01,Kepler-458 c,CONFIRMED,20.74028645,142.80003,1023.3,0.431,10.3939,0.029861,6226.0,4.264,1.299,297.04541,46.328701
7700561,K05414.01,,FALSE POSITIVE,1.507099289,132.09341,1282.0,1.265,4.8361,0.303615,5762.0,4.576,0.801,297.25482,43.308979
5962716,K06640.01,,FALSE POSITIVE,1.804591904,132.3963298,137295.0,0.879,3.85009,0.488817,6271.0,4.178,1.515,292.60831,41.225201
9489947,K03385.01,,FALSE POSITIVE,54.061328105,181.788127,79684.0,1.336,4.48223,0.727029,5786.0,4.318,1.112,300.01813,46.026272
10483644,K06225.01,,FALSE POSITIVE,5.110771787,133.315344,50681.0,0.878,2.48392,0.276346,6029.0,4.523,0.894,296.6817,47.600342
6594972,K06737.01,,FALSE POSITIVE,10.819169459,132.9864665,437142.0,0.275,5.50262,0.626194,5955.0,4.429,0.991,288.29306,42.057369
5471271,K04155.01,,FALSE POSITIVE,12.422216754,141.8461927,54.5,0.056,6.5533,0.006773,6231.0,4.424,1.084,297.60681,40.656479
8374741,K04330.01,,FALSE POSITIVE,358.101884,425.6837,114.0,0.5804,6.393,0.010135,5786.0,4.526,0.856,295.07507,44.382992
8692861,K00172.02,Kepler-69 c,CONFIRMED,242.467406,150.85827,340.3,0.173,12.808,0.016782,5637.0,4.399,0.943,293.26093,44.868889
